Data,Sec1,Main
1956-04-01,211.7,218.40000000000003
1956-05-01,168.4,180.5
1956-06-01,82.80000000000003,72.39999999999998
1956-07-01,86.89999999999998,91.9
1956-08-01,106.0,103.7
1956-09-01,165.7,150.9
1956-10-01,57.8,53.4
1956-11-01,40.2,11.499999999999998
1956-12-01,101.2,65.10000000000001
1957-01-01,249.5,205.9
1957-02-01,127.6,153.2
1957-03-01,90.7,98.0
1957-04-01,171.3,153.8
1957-05-01,0.0,10.0
1957-06-01,318.2,298.4000000000001
1957-07-01,292.1,324.3
1957-08-01,282.0,278.3
1957-09-01,429.4,391.1
1957-10-01,141.0,160.79999999999995
1957-11-01,135.0,140.9
1957-12-01,64.19999999999999,144.1
1958-01-01,124.2,120.5
1958-02-01,121.0,107.0
1958-03-01,217.8,222.4
1958-04-01,50.0,48.6
1958-05-01,3.2,37.9
1958-06-01,75.8,97.8
1958-07-01,133.8,137.9
1958-08-01,124.8,122.2
1958-09-01,296.7,260.29999999999995
1958-10-01,125.0,106.3
1958-11-01,207.7,155.3
1958-12-01,165.7,230.6
1959-01-01,71.5,99.8
1959-02-01,224.1,214.90000000000006
1959-03-01,150.4,77.7
1959-04-01,84.7,151.6
1959-05-01,129.6,112.20000000000002
1959-06-01,86.2,88.6
1959-07-01,56.1,58.7
1959-08-01,116.8,104.4
1959-09-01,92.0,110.8
1959-10-01,92.1,113.1
1959-11-01,43.1,97.5
1959-12-01,83.9,65.0
1960-01-01,125.8,137.60000000000002
1960-02-01,153.6,153.90000000000003
1960-03-01,54.0,52.90000000000001
1960-04-01,75.39999999999998,101.9
1960-05-01,71.70000000000002,99.2
1960-06-01,22.3,99.2
1960-07-01,42.8,35.8
1960-08-01,19.3,191.0
1960-09-01,125.8,137.9
1960-10-01,192.0,242.79999999999995
1960-11-01,221.0,135.6
1960-12-01,50.6,235.4
1961-01-01,113.2,145.2
1961-02-01,167.3,93.6
1961-03-01,353.0,235.90000000000003
1961-04-01,215.2,107.7
1961-05-01,121.6,98.6
1961-06-01,72.6,88.60000000000002
1961-07-01,23.1,23.4
1961-08-01,43.0,55.3
1961-09-01,326.9000000000001,287.8
1961-10-01,230.2,189.4
1961-11-01,138.10000000000002,170.20000000000005
1961-12-01,171.0,147.1
1962-01-01,204.0,113.9
1962-02-01,204.8,141.4
1962-03-01,135.8,122.2
1962-04-01,86.80000000000003,113.0
1962-05-01,114.2,120.0
1962-06-01,61.4,42.89999999999999
1962-07-01,57.8,72.3
1962-08-01,39.6,33.5
1962-09-01,192.2,175.5
1962-10-01,216.0,244.40000000000003
1962-11-01,61.8,76.1
1962-12-01,64.39999999999999,44.2
1963-01-01,282.0,260.29999999999995
1963-02-01,161.20000000000005,106.2
1963-03-01,130.0,180.7
1963-04-01,43.5,34.2
1963-05-01,104.2,74.7
1963-06-01,47.6,51.6
1963-07-01,27.0,20.3
1963-08-01,50.6,62.8
1963-09-01,118.8,118.8
1963-10-01,319.39999999999986,322.2
1963-11-01,282.4,239.7
1963-12-01,131.79999999999998,117.8
1964-01-01,157.99999999999997,87.50000000000001
1964-02-01,159.0,144.1
1964-03-01,133.4,165.4
1964-04-01,113.8,103.0
1964-05-01,87.40000000000002,103.5
1964-06-01,141.6,137.2
1964-07-01,139.6,119.4
1964-08-01,237.8,205.6
1964-09-01,100.4,89.7
1964-10-01,86.19999999999997,94.1
1964-11-01,115.2,101.2
1964-12-01,141.4,126.1
1965-01-01,152.8,114.7
1965-02-01,161.60000000000005,190.6
1965-03-01,38.0,102.8
1965-04-01,160.79999999999995,232.1
1965-05-01,158.6,151.9
1965-06-01,86.69999999999996,85.80000000000003
1965-07-01,265.20000000000005,246.4
1965-08-01,83.8,105.70000000000002
1965-09-01,201.4,176.49999999999997
1965-10-01,283.0,277.79999999999995
1965-11-01,172.6,175.89999999999995
1965-12-01,249.3,250.9
1966-01-01,159.60000000000005,69.8
1966-02-01,364.19999999999993,242.49999999999997
1966-03-01,66.8,82.4
1966-04-01,56.6,52.1
1966-05-01,46.4,56.39999999999999
1966-06-01,238.40000000000003,233.00000000000009
1966-07-01,67.2,57.3
1966-08-01,112.20000000000002,72.4
1966-09-01,151.6,164.5
1966-10-01,273.0,265.7
1966-11-01,156.89999999999995,68.10000000000001
1966-12-01,245.8,171.90000000000003
1967-01-01,187.8,191.2
1967-02-01,154.70000000000005,227.1
1967-03-01,212.0,234.19999999999996
1967-04-01,43.40000000000001,54.3
1967-05-01,64.6,74.7
1967-06-01,118.2,148.3
1967-07-01,65.8,55.8
1967-08-01,146.4,120.5
1967-09-01,72.6,100.8
1967-10-01,104.4,92.7
1967-11-01,167.0,176.09999999999997
1967-12-01,290.6,172.7
1968-01-01,155.50000000000003,177.39999999999995
1968-02-01,63.2,47.1
1968-03-01,119.4,108.7
1968-04-01,112.4,128.1
1968-05-01,18.000000000000004,37.4
1968-06-01,57.7,70.4
1968-07-01,128.2,97.3
1968-08-01,40.2,64.6
1968-09-01,108.6,93.8
1968-10-01,154.4,129.0
1968-11-01,94.79999999999998,156.0
1968-12-01,232.0,176.1
1969-01-01,146.80000000000004,134.6
1969-02-01,157.0,290.49999999999994
1969-03-01,128.6,128.6
1969-04-01,222.5,240.3
1969-05-01,172.8,167.60000000000005
1969-06-01,191.0,259.1
1969-07-01,108.0,109.4
1969-08-01,70.2,73.1
1969-09-01,190.0,218.4
1969-10-01,155.6,122.2
1969-11-01,144.8,157.3
1969-12-01,168.8,144.29999999999995
1970-01-01,87.80000000000003,88.79999999999998
1970-02-01,191.2,205.2
1970-03-01,145.6,90.6
1970-04-01,71.79999999999998,102.5
1970-05-01,124.6,117.9
1970-06-01,297.19999999999993,219.4
1970-07-01,124.4,121.6
1970-08-01,38.2,48.9
1970-09-01,243.0,121.8
1970-10-01,105.4,171.70000000000005
1970-11-01,41.8,72.3
1970-12-01,292.99999999999994,382.00000000000006
1971-01-01,249.79999999999995,246.8
1971-02-01,164.0,147.8
1971-03-01,223.2,130.29999999999998
1971-04-01,150.0,169.5
1971-05-01,206.8,209.5
1971-06-01,190.6,200.0
1971-07-01,148.2,156.7
1971-08-01,69.2,72.19999999999997
1971-09-01,91.0,88.89999999999998
1971-10-01,129.0,100.1
1971-11-01,19.6,39.5
1971-12-01,128.4,108.40000000000002
1972-01-01,154.2,203.40000000000006
1972-02-01,262.0,277.79999999999995
1972-03-01,200.8,145.99999999999997
1972-04-01,102.6,76.4
1972-05-01,18.8,13.8
1972-06-01,188.4,166.70000000000005
1972-07-01,172.4,157.1
1972-08-01,348.00000000000006,278.79999999999995
1972-09-01,383.6,326.4000000000001
1972-10-01,173.6,199.4
1972-11-01,120.8,167.70000000000005
1972-12-01,185.4,91.8
1973-01-01,302.7999999999999,263.0
1973-02-01,265.1,227.1
1973-03-01,128.0,118.5
1973-04-01,134.6,146.0
1973-05-01,216.0,207.2
1973-06-01,217.0,223.3
1973-07-01,160.0,129.3
1973-08-01,314.6,294.99999999999994
1973-09-01,277.20000000000005,223.5
1973-10-01,188.6,170.29999999999995
1973-11-01,130.60000000000002,154.79999999999995
1973-12-01,211.6,187.0
1974-01-01,128.2,201.7
1974-02-01,162.20000000000005,182.3
1974-03-01,60.40000000000001,141.40000000000003
1974-04-01,107.6,83.7
1974-05-01,71.4,42.8
1974-06-01,169.6,165.90000000000003
1974-07-01,138.2,146.20000000000005
1974-08-01,80.8,134.5
1974-09-01,117.8,47.90000000000001
1974-10-01,147.20000000000005,118.2
1974-11-01,134.0,139.8
1974-12-01,190.8,186.5
1975-01-01,172.4,226.2
1975-02-01,165.3,214.2
1975-03-01,151.0,159.29999999999995
1975-04-01,48.6,57.40000000000001
1975-05-01,66.19999999999999,38.4
1975-06-01,76.2,112.3
1975-07-01,73.4,60.3
1975-08-01,102.0,124.2
1975-09-01,290.99999999999994,246.40000000000003
1975-10-01,201.0,206.4
1975-11-01,273.6,220.30000000000004
1975-12-01,214.79999999999995,273.1000000000001
1976-01-01,204.0,208.5
1976-02-01,108.2,80.9
1976-03-01,169.60000000000005,232.1
1976-04-01,83.60000000000002,109.9
1976-05-01,158.0,155.59999999999997
1976-06-01,132.4,150.3
1976-07-01,133.8,126.4
1976-08-01,128.2,137.8
1976-09-01,117.8,104.6
1976-10-01,191.7,148.10000000000005
1976-11-01,148.2,174.20000000000005
1976-12-01,138.39999999999998,193.1
1977-01-01,290.4,232.90000000000003
1977-02-01,200.6,131.00000000000003
1977-03-01,207.2,291.5
1977-04-01,70.19999999999999,70.10000000000001
1977-05-01,26.0,34.3
1977-06-01,153.99999999999997,131.39999999999998
1977-07-01,90.6,122.2
1977-08-01,148.0,149.1
1977-09-01,81.4,113.6
1977-10-01,216.00000000000003,268.1
1977-11-01,155.2,190.7
1977-12-01,176.6,152.4
1978-01-01,102.6,70.0
1978-02-01,74.6,74.4
1978-03-01,156.4,170.8
1978-04-01,2.4000000000000004,0.0
1978-05-01,84.4,68.0
